epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,426.573,1.38812,1.36225,1.40398,0.92174,0.82923,0.91646,0.58004,1.3469,0.81499,1.43426,0.000666413,0.000666413,0.000666413
2,833.926,1.37487,0.96144,1.42642,0.94918,0.90469,0.94754,0.60864,1.24761,0.72919,1.36847,0.00128909,0.00128909,0.00128909
3,1212.93,1.34781,0.90914,1.41295,0.94967,0.90469,0.9514,0.61314,1.22177,0.70525,1.3491,0.00186776,0.00186776,0.00186776
4,1609.95,1.30089,0.85971,1.38604,0.94829,0.92625,0.95024,0.60538,1.22899,0.67118,1.35067,0.001802,0.001802,0.001802
5,2005.65,1.27388,0.82918,1.36421,0.94541,0.92895,0.94405,0.61502,1.2047,0.64134,1.32472,0.001736,0.001736,0.001736
6,2397.66,1.2493,0.79431,1.34867,0.96062,0.92672,0.95894,0.65281,1.16675,0.59671,1.31163,0.00167,0.00167,0.00167
7,2791.05,1.23266,0.76696,1.33972,0.96885,0.92625,0.96503,0.65545,1.18005,0.5621,1.30754,0.001604,0.001604,0.001604
8,3185.33,1.21666,0.74415,1.3277,0.96069,0.93637,0.96212,0.66181,1.14096,0.59054,1.27885,0.001538,0.001538,0.001538
9,3579.57,1.19992,0.7348,1.3177,0.96659,0.94061,0.96922,0.66789,1.14582,0.5601,1.28548,0.001472,0.001472,0.001472
10,3973.71,1.18837,0.71116,1.3009,0.97181,0.94114,0.97109,0.66927,1.13865,0.55135,1.27515,0.001406,0.001406,0.001406
11,4370.34,1.18406,0.69489,1.29514,0.975,0.95277,0.97737,0.68149,1.12532,0.51957,1.26132,0.00134,0.00134,0.00134
12,4763.55,1.16906,0.68571,1.29002,0.97746,0.95531,0.97803,0.68692,1.10588,0.51525,1.25496,0.001274,0.001274,0.001274
13,5158.79,1.16355,0.67896,1.28373,0.97537,0.95259,0.97767,0.682,1.11434,0.50135,1.25424,0.001208,0.001208,0.001208
14,5552.73,1.1487,0.65443,1.27589,0.97597,0.95316,0.97743,0.68493,1.11061,0.50308,1.24974,0.001142,0.001142,0.001142
15,5947.59,1.14502,0.64834,1.27335,0.97497,0.95153,0.97716,0.68918,1.10268,0.50472,1.246,0.001076,0.001076,0.001076
16,6341.77,1.13566,0.63371,1.26713,0.97462,0.95645,0.97936,0.682,1.12651,0.4796,1.25784,0.00101,0.00101,0.00101
17,6736.6,1.12989,0.62111,1.26025,0.97744,0.95439,0.97723,0.67593,1.12997,0.47892,1.2574,0.000944,0.000944,0.000944
18,7128.24,1.12312,0.61077,1.25725,0.97511,0.95705,0.9794,0.67811,1.12456,0.46177,1.25982,0.000878,0.000878,0.000878
19,7522.97,1.10867,0.59431,1.24936,0.97657,0.95834,0.97999,0.69433,1.08476,0.44877,1.2316,0.000812,0.000812,0.000812
20,7914.42,1.09756,0.58605,1.237,0.97759,0.9569,0.97831,0.6781,1.11527,0.44879,1.2549,0.000746,0.000746,0.000746
21,8325.63,1.07848,0.47399,1.27038,0.98128,0.96121,0.9826,0.70167,1.07678,0.42926,1.22953,0.00068,0.00068,0.00068
22,8701.64,1.05897,0.45768,1.2579,0.97901,0.95785,0.98191,0.70816,1.06608,0.42144,1.22018,0.000614,0.000614,0.000614
23,9081.04,1.04107,0.44054,1.24152,0.98424,0.95977,0.98333,0.70264,1.07881,0.41494,1.23008,0.000548,0.000548,0.000548
24,9461.83,1.02519,0.4276,1.23294,0.98229,0.96264,0.98427,0.71431,1.05505,0.40352,1.21158,0.000482,0.000482,0.000482
25,9840.23,1.01473,0.4202,1.2281,0.98842,0.9569,0.98352,0.71858,1.04968,0.40089,1.20838,0.000416,0.000416,0.000416
26,10219.9,1.00127,0.40904,1.21497,0.98153,0.96216,0.98318,0.71863,1.04463,0.39422,1.20603,0.00035,0.00035,0.00035
27,10599.1,0.9891,0.40197,1.21043,0.98575,0.96264,0.98314,0.71824,1.04412,0.39056,1.2072,0.000284,0.000284,0.000284
28,10978.8,0.9755,0.39261,1.19837,0.98523,0.95929,0.98341,0.71706,1.04719,0.38867,1.20871,0.000218,0.000218,0.000218
29,11359.1,0.96375,0.38511,1.18838,0.9873,0.95881,0.98407,0.72013,1.04203,0.38484,1.20668,0.000152,0.000152,0.000152
30,11738.7,0.95062,0.37719,1.18151,0.98481,0.96264,0.98399,0.72118,1.04358,0.38533,1.20756,8.6e-05,8.6e-05,8.6e-05
