epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.0351,1.01521,1.805,0.93935,0.99535,0.99231,0.99496,0.84048,0.63682,0.69129,0.85371,0.00055323,0.00055323,0.00055323
2,68.4221,0.77325,0.90122,0.87457,0.9958,0.99615,0.99498,0.83789,0.64192,0.51751,0.86021,0.00109792,0.00109792,0.00109792
3,99.7063,0.75621,0.66217,0.87288,0.99977,0.99423,0.995,0.822,0.68484,0.42751,0.86644,0.0016316,0.0016316,0.0016316
4,129.627,0.71365,0.56584,0.8698,0.99565,0.99038,0.99496,0.78683,0.81442,0.44669,0.88929,0.00161749,0.00161749,0.00161749
5,159.377,0.68675,0.49873,0.85649,1,0.99796,0.995,0.85795,0.57768,0.41022,0.84516,0.00160099,0.00160099,0.00160099
6,189.093,0.67775,0.44749,0.85138,0.99909,1,0.995,0.87214,0.56469,0.34744,0.84119,0.00158448,0.00158448,0.00158448
7,218.775,0.64814,0.41916,0.84983,0.99618,0.99423,0.995,0.86231,0.54596,0.34935,0.83424,0.00156798,0.00156798,0.00156798
8,246.607,0.63171,0.40207,0.84253,0.99982,1,0.995,0.86626,0.56947,0.33326,0.8426,0.00155148,0.00155148,0.00155148
9,275.119,0.61666,0.39517,0.84121,0.99808,0.99857,0.995,0.88132,0.51325,0.32318,0.82933,0.00153497,0.00153497,0.00153497
10,303.902,0.62125,0.38437,0.83771,1,0.99973,0.995,0.89037,0.49783,0.29918,0.8248,0.00151847,0.00151847,0.00151847
11,333.327,0.59205,0.36356,0.83287,0.99958,0.99808,0.995,0.89398,0.50075,0.31225,0.82414,0.00150197,0.00150197,0.00150197
12,361.403,0.58375,0.35859,0.83544,0.99793,0.99615,0.995,0.8859,0.53026,0.29539,0.829,0.00148546,0.00148546,0.00148546
13,389.108,0.57785,0.35941,0.83238,0.99953,0.99808,0.995,0.87452,0.55221,0.29727,0.82974,0.00146896,0.00146896,0.00146896
14,416.62,0.56925,0.34879,0.83558,0.99808,0.99984,0.995,0.8921,0.47888,0.28882,0.82005,0.00145246,0.00145246,0.00145246
15,445.035,0.59012,0.35667,0.83636,0.99969,1,0.995,0.89024,0.48266,0.28384,0.82074,0.00143595,0.00143595,0.00143595
16,472.543,0.55251,0.33939,0.82641,0.99987,0.99808,0.995,0.89488,0.50306,0.28005,0.82697,0.00141945,0.00141945,0.00141945
17,501.562,0.56608,0.34543,0.831,0.9997,0.99808,0.995,0.88649,0.49741,0.28928,0.82225,0.00140295,0.00140295,0.00140295
18,529.265,0.54427,0.33046,0.82317,0.99991,0.99808,0.995,0.86911,0.56793,0.29288,0.83249,0.00138644,0.00138644,0.00138644
19,557.714,0.53181,0.32256,0.82078,1,0.99978,0.995,0.90821,0.46173,0.2667,0.81221,0.00136994,0.00136994,0.00136994
20,586.221,0.53488,0.32275,0.82564,0.99962,1,0.995,0.89812,0.48662,0.28844,0.81885,0.00135344,0.00135344,0.00135344
21,614.273,0.52995,0.31785,0.81982,1,0.99792,0.995,0.89527,0.51509,0.27479,0.82226,0.00133693,0.00133693,0.00133693
22,642.812,0.54334,0.32428,0.82297,0.99986,0.99808,0.995,0.89109,0.51839,0.2755,0.82263,0.00132043,0.00132043,0.00132043
23,671.143,0.51939,0.3076,0.81949,0.99633,1,0.995,0.91029,0.45198,0.26277,0.81191,0.00130393,0.00130393,0.00130393
24,699.376,0.52266,0.31892,0.82302,1,1,0.995,0.9086,0.44187,0.26838,0.80914,0.00128742,0.00128742,0.00128742
25,727.294,0.51762,0.31355,0.82129,0.99981,0.99808,0.995,0.90806,0.45133,0.27825,0.81074,0.00127092,0.00127092,0.00127092
26,755.308,0.51785,0.30984,0.8199,0.99939,0.99808,0.995,0.90062,0.47703,0.25696,0.81508,0.00125442,0.00125442,0.00125442
27,783.69,0.51332,0.30349,0.81399,0.99982,1,0.995,0.90876,0.46194,0.25915,0.8127,0.00123791,0.00123791,0.00123791
28,811.709,0.50771,0.30305,0.81703,0.99979,0.99808,0.995,0.89701,0.4781,0.25075,0.81546,0.00122141,0.00122141,0.00122141
29,839.47,0.51445,0.3043,0.82064,0.99984,0.99808,0.995,0.91398,0.42835,0.23785,0.80953,0.00120491,0.00120491,0.00120491
