epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.6704,1.24518,1.62992,1.38106,0.74652,0.80419,0.7949,0.49322,1.31624,1.70794,1.81372,0.000474961,0.000474961,0.000474961
2,124.895,1.16003,1.12579,1.34117,0.77502,0.72871,0.7955,0.50581,1.29477,1.42383,1.79074,0.000932458,0.000932458,0.000932458
3,180.777,1.11344,1.01407,1.32535,0.87497,0.75837,0.86792,0.61075,1.17741,1.09883,1.61649,0.00137109,0.00137109,0.00137109
4,236.877,1.09396,0.94988,1.31363,0.90004,0.83386,0.91229,0.61933,1.21604,0.99902,1.64818,0.00134412,0.00134412,0.00134412
5,293.258,1.00479,0.81942,1.24952,0.9031,0.83721,0.89754,0.64181,1.1612,0.89796,1.62129,0.00131582,0.00131582,0.00131582
6,349.976,0.95684,0.77908,1.23163,0.90858,0.84928,0.90897,0.63277,1.15378,0.88183,1.63765,0.00128753,0.00128753,0.00128753
7,407.049,0.94547,0.73897,1.226,0.92656,0.87018,0.93105,0.68065,1.08123,0.74543,1.49248,0.00125923,0.00125923,0.00125923
8,465.188,0.91239,0.71793,1.21011,0.86759,0.84398,0.91059,0.67024,1.04859,0.77885,1.47513,0.00123094,0.00123094,0.00123094
9,522.948,0.88491,0.68347,1.19058,0.9281,0.87451,0.94004,0.68591,1.07226,0.71122,1.48865,0.00120265,0.00120265,0.00120265
10,580.208,0.86411,0.66522,1.18083,0.9411,0.84376,0.91847,0.70134,1.00179,0.71365,1.42119,0.00117435,0.00117435,0.00117435
11,638.839,0.82371,0.62652,1.15706,0.90809,0.89308,0.9387,0.7138,0.9942,0.71171,1.43531,0.00114606,0.00114606,0.00114606
12,694.38,0.8086,0.61834,1.14615,0.93219,0.87004,0.93416,0.72288,0.96757,0.62106,1.38561,0.00111776,0.00111776,0.00111776
13,751.231,0.80916,0.60263,1.14795,0.91691,0.87517,0.93279,0.73564,0.94618,0.65883,1.3713,0.00108947,0.00108947,0.00108947
14,808.422,0.78651,0.58334,1.13263,0.94413,0.87764,0.93867,0.73042,0.9753,0.66162,1.39329,0.00106118,0.00106118,0.00106118
15,865.184,0.79044,0.57531,1.13289,0.92846,0.8987,0.95571,0.74205,0.95133,0.6337,1.38404,0.00103288,0.00103288,0.00103288
16,921.021,0.76722,0.56275,1.12091,0.9451,0.88666,0.95119,0.74311,0.943,0.59219,1.36257,0.00100459,0.00100459,0.00100459
17,978.282,0.75873,0.55335,1.12433,0.94291,0.87899,0.95552,0.74727,0.94445,0.60237,1.36691,0.000976293,0.000976293,0.000976293
18,1035.71,0.7459,0.53096,1.11016,0.93821,0.91142,0.95942,0.75721,0.91875,0.57916,1.33891,0.000947999,0.000947999,0.000947999
19,1092.48,0.72156,0.51897,1.10063,0.95636,0.91457,0.96828,0.7776,0.89279,0.54302,1.31856,0.000919704,0.000919704,0.000919704
20,1149.77,0.72219,0.52031,1.10267,0.96859,0.90581,0.96168,0.76765,0.87733,0.55388,1.31175,0.00089141,0.00089141,0.00089141
21,1206.93,0.72374,0.5171,1.0966,0.94133,0.90375,0.95319,0.75475,0.88936,0.53618,1.309,0.000863116,0.000863116,0.000863116
22,1264.79,0.69476,0.50267,1.08148,0.96263,0.91085,0.96856,0.77887,0.86161,0.53287,1.29017,0.000834822,0.000834822,0.000834822
23,1321.52,0.70832,0.50347,1.09221,0.92218,0.92396,0.9565,0.75913,0.89611,0.55036,1.33644,0.000806528,0.000806528,0.000806528
24,1378.9,0.71011,0.4972,1.09667,0.94602,0.93136,0.97019,0.78418,0.89872,0.53099,1.31734,0.000778233,0.000778233,0.000778233
25,1436.25,0.69021,0.49486,1.08859,0.95215,0.92208,0.97137,0.78258,0.87882,0.51149,1.30113,0.000749939,0.000749939,0.000749939
26,1491.59,0.67757,0.47155,1.07282,0.9326,0.94182,0.97329,0.78881,0.86244,0.50231,1.28505,0.000721645,0.000721645,0.000721645
27,1548.97,0.6803,0.47356,1.07947,0.94279,0.91632,0.95999,0.78575,0.87252,0.51874,1.29301,0.000693351,0.000693351,0.000693351
28,1606.43,0.66332,0.4588,1.0683,0.95596,0.92555,0.97362,0.79681,0.84445,0.49764,1.26575,0.000665057,0.000665057,0.000665057
29,1662.03,0.63577,0.44397,1.04811,0.94263,0.93621,0.9673,0.78827,0.85047,0.49777,1.27078,0.000636762,0.000636762,0.000636762
