epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,157.557,1.36038,1.88387,1.30997,0.79081,0.74476,0.82372,0.54344,1.19066,1.24467,1.35496,0.000332975,0.000332975,0.000332975
2,301.063,1.19307,1.10836,1.24262,0.81989,0.78633,0.8676,0.58669,1.14608,0.98542,1.35706,0.000653115,0.000653115,0.000653115
3,437.273,1.14224,0.95491,1.22561,0.8854,0.81964,0.88162,0.63184,1.07936,0.8526,1.31299,0.000960056,0.000960056,0.000960056
4,587.752,1.10907,0.86625,1.21322,0.91692,0.85566,0.8984,0.65772,1.03207,0.86621,1.30439,0.0009406,0.0009406,0.0009406
5,722.073,1.05604,0.78977,1.18973,0.90008,0.83534,0.91163,0.65603,1.04287,0.78901,1.31576,0.0009208,0.0009208,0.0009208
6,855.393,1.02754,0.74825,1.1732,0.85715,0.91326,0.92567,0.67005,1.04387,0.69266,1.32895,0.000901,0.000901,0.000901
7,992.932,1.00029,0.71322,1.15708,0.92507,0.88393,0.93858,0.69864,1.02463,0.66458,1.2829,0.0008812,0.0008812,0.0008812
8,1132.13,0.96767,0.67926,1.1427,0.91661,0.87078,0.93018,0.71715,0.90575,0.65531,1.21543,0.0008614,0.0008614,0.0008614
9,1270.02,0.94751,0.65801,1.13227,0.9377,0.8816,0.92596,0.72088,0.89179,0.63298,1.18514,0.0008416,0.0008416,0.0008416
10,1408.73,0.93491,0.63431,1.12737,0.93507,0.91182,0.94167,0.74412,0.86582,0.56631,1.1932,0.0008218,0.0008218,0.0008218
11,1545.56,0.92177,0.61577,1.11833,0.94067,0.88007,0.93746,0.71671,0.9202,0.62301,1.19311,0.000802,0.000802,0.000802
12,1686.15,0.90463,0.60246,1.11228,0.93986,0.89612,0.93349,0.74027,0.8396,0.59488,1.16187,0.0007822,0.0007822,0.0007822
13,1824.47,0.89628,0.58864,1.1059,0.94958,0.89652,0.93498,0.74432,0.84961,0.57341,1.16811,0.0007624,0.0007624,0.0007624
14,1963.89,0.87703,0.57305,1.09544,0.93552,0.92672,0.95153,0.75731,0.83289,0.54715,1.17952,0.0007426,0.0007426,0.0007426
15,2102.37,0.87388,0.56301,1.09376,0.94915,0.88812,0.92591,0.72475,0.92048,0.60539,1.21004,0.0007228,0.0007228,0.0007228
16,2240.78,0.85965,0.55444,1.08739,0.95016,0.90718,0.94829,0.76439,0.82262,0.54156,1.16712,0.000703,0.000703,0.000703
17,2381.23,0.85525,0.54936,1.08501,0.94861,0.88534,0.93808,0.75138,0.83821,0.60306,1.16905,0.0006832,0.0006832,0.0006832
18,2519.21,0.84239,0.53087,1.07737,0.96001,0.9024,0.95407,0.76221,0.83449,0.53214,1.15849,0.0006634,0.0006634,0.0006634
19,2657.58,0.83865,0.53044,1.07869,0.95952,0.88174,0.94258,0.76224,0.83236,0.54033,1.17026,0.0006436,0.0006436,0.0006436
20,2797.72,0.82658,0.51915,1.07082,0.9557,0.89956,0.94466,0.7737,0.7701,0.53316,1.12215,0.0006238,0.0006238,0.0006238
21,2935.18,0.81816,0.51447,1.06666,0.93547,0.92637,0.94848,0.76373,0.8273,0.50668,1.1613,0.000604,0.000604,0.000604
22,3077.16,0.81407,0.50608,1.06834,0.95432,0.88816,0.9331,0.76478,0.78987,0.57081,1.14139,0.0005842,0.0005842,0.0005842
23,3219.5,0.8004,0.4916,1.05785,0.94023,0.91309,0.94558,0.77011,0.81145,0.52668,1.15885,0.0005644,0.0005644,0.0005644
24,3360.47,0.79657,0.49091,1.05625,0.96376,0.89586,0.95057,0.7721,0.79618,0.51571,1.14804,0.0005446,0.0005446,0.0005446
25,3499.28,0.78733,0.48039,1.0502,0.95849,0.89989,0.9496,0.78561,0.77991,0.51618,1.14296,0.0005248,0.0005248,0.0005248
26,3638.18,0.78542,0.47992,1.05024,0.9344,0.93113,0.95529,0.78356,0.78171,0.48485,1.13778,0.000505,0.000505,0.000505
27,3776.69,0.77625,0.47254,1.04262,0.95972,0.90156,0.95391,0.79657,0.74285,0.48122,1.11719,0.0004852,0.0004852,0.0004852
28,3916.77,0.76194,0.45927,1.03453,0.93855,0.93241,0.95357,0.79386,0.74302,0.45968,1.10796,0.0004654,0.0004654,0.0004654
29,4053.49,0.75927,0.45846,1.03596,0.95182,0.91301,0.95588,0.79778,0.73894,0.46393,1.11228,0.0004456,0.0004456,0.0004456
30,4187.07,0.75843,0.45549,1.03466,0.9618,0.90019,0.94177,0.78802,0.73213,0.48454,1.12315,0.0004258,0.0004258,0.0004258
31,4324.99,0.74626,0.44735,1.02781,0.95951,0.90707,0.95042,0.78584,0.7592,0.47682,1.12733,0.000406,0.000406,0.000406
32,4458.53,0.74157,0.4458,1.02731,0.96847,0.90073,0.94681,0.792,0.72628,0.4812,1.10706,0.0003862,0.0003862,0.0003862
33,4595.62,0.7341,0.43772,1.02363,0.96344,0.90285,0.94719,0.79306,0.73332,0.47978,1.10742,0.0003664,0.0003664,0.0003664
34,4730.55,0.73213,0.43335,1.02382,0.96109,0.90908,0.95392,0.80033,0.72293,0.44776,1.1045,0.0003466,0.0003466,0.0003466
35,4864.67,0.72195,0.42556,1.01935,0.9613,0.91318,0.95246,0.80049,0.72589,0.46611,1.11273,0.0003268,0.0003268,0.0003268
36,5000.03,0.71923,0.42309,1.01608,0.9562,0.91738,0.9438,0.79948,0.70045,0.47693,1.08799,0.000307,0.000307,0.000307
37,5136.39,0.71469,0.41987,1.01361,0.96037,0.90053,0.94757,0.80017,0.7052,0.48031,1.08923,0.0002872,0.0002872,0.0002872
38,5272.91,0.70926,0.4179,1.00809,0.9647,0.90233,0.94446,0.79361,0.71938,0.47391,1.09241,0.0002674,0.0002674,0.0002674
39,5412.15,0.70062,0.40952,1.00656,0.96199,0.90816,0.95398,0.81034,0.69867,0.43693,1.09557,0.0002476,0.0002476,0.0002476
40,5548.82,0.69417,0.40398,0.99986,0.95885,0.91088,0.95225,0.80642,0.70602,0.44981,1.0708,0.0002278,0.0002278,0.0002278
41,5714.07,0.64661,0.34265,0.97281,0.96317,0.90777,0.94272,0.79709,0.71656,0.45694,1.08956,0.000208,0.000208,0.000208
42,5847.9,0.62783,0.33177,0.9593,0.95985,0.90769,0.94596,0.80706,0.69242,0.44806,1.07847,0.0001882,0.0001882,0.0001882
43,5982.87,0.61051,0.32098,0.95672,0.95525,0.913,0.95101,0.8116,0.69604,0.43279,1.08343,0.0001684,0.0001684,0.0001684
44,6117.57,0.6014,0.31513,0.95282,0.96797,0.90294,0.95777,0.82301,0.68085,0.43053,1.07644,0.0001486,0.0001486,0.0001486
45,6249.75,0.59031,0.31141,0.94604,0.96568,0.91018,0.95267,0.81974,0.68062,0.43092,1.06924,0.0001288,0.0001288,0.0001288
46,6384.23,0.58368,0.30611,0.94288,0.96491,0.90975,0.94841,0.81796,0.68077,0.46543,1.07272,0.000109,0.000109,0.000109
47,6519.14,0.57447,0.30204,0.93637,0.96111,0.91015,0.95042,0.81804,0.68017,0.43788,1.08453,8.92e-05,8.92e-05,8.92e-05
48,6654.37,0.56838,0.29713,0.93635,0.96836,0.91121,0.94828,0.81883,0.67747,0.43781,1.08503,6.94e-05,6.94e-05,6.94e-05
49,6789.07,0.56246,0.29326,0.93325,0.964,0.91068,0.94649,0.81827,0.67073,0.44147,1.08018,4.96e-05,4.96e-05,4.96e-05
50,6920.19,0.5554,0.28946,0.93189,0.96545,0.91109,0.94794,0.82027,0.67163,0.43677,1.07611,2.98e-05,2.98e-05,2.98e-05
