epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.325,1.73999,2.14648,1.45402,0.7412,0.67901,0.65223,0.33957,1.64043,1.45456,1.51503,0.000552319,0.000552319,0.000552319
2,120.324,1.53096,1.16401,1.37474,0.8788,0.78281,0.83449,0.44151,1.7175,1.15705,1.51574,0.0010884,0.0010884,0.0010884
3,166.486,1.49421,1.06424,1.3313,0.8614,0.81611,0.85812,0.47882,1.60412,1.14215,1.50977,0.00160483,0.00160483,0.00160483
4,217.152,1.44013,1.01831,1.31948,0.88142,0.83098,0.87935,0.52319,1.48823,1.05949,1.42254,0.00157859,0.00157859,0.00157859
5,266.365,1.38719,0.94493,1.27739,0.90277,0.83405,0.87302,0.51999,1.51401,0.92534,1.42755,0.00154912,0.00154912,0.00154912
6,311.478,1.36704,0.91303,1.26409,0.89332,0.83488,0.87807,0.52341,1.49214,0.93953,1.39562,0.00151965,0.00151965,0.00151965
7,355.74,1.34121,0.85847,1.25515,0.9111,0.83116,0.88641,0.5205,1.4541,0.93783,1.3749,0.00149018,0.00149018,0.00149018
8,404.828,1.32303,0.83601,1.23738,0.92549,0.8457,0.90505,0.53296,1.45873,0.87556,1.40195,0.00146071,0.00146071,0.00146071
9,456.62,1.34382,0.84681,1.25871,0.91953,0.87128,0.90827,0.5818,1.35264,0.82363,1.33963,0.00143124,0.00143124,0.00143124
10,506.21,1.30394,0.80651,1.2254,0.93026,0.86139,0.90838,0.57666,1.38692,0.76237,1.32841,0.00140177,0.00140177,0.00140177
11,555.371,1.26306,0.7859,1.20433,0.93173,0.86972,0.91254,0.57769,1.35013,0.76904,1.33761,0.0013723,0.0013723,0.0013723
12,624.176,1.25973,0.76912,1.20323,0.92281,0.85899,0.90945,0.60678,1.29378,0.74661,1.3057,0.00134283,0.00134283,0.00134283
13,665.201,1.24466,0.75881,1.19997,0.92529,0.88286,0.91794,0.61836,1.30504,0.73576,1.29133,0.00131336,0.00131336,0.00131336
14,708.358,1.22738,0.74068,1.18403,0.94538,0.88376,0.92427,0.62724,1.26064,0.69508,1.26633,0.00128389,0.00128389,0.00128389
15,754.236,1.20351,0.72641,1.17774,0.92968,0.88792,0.91872,0.61919,1.26532,0.69702,1.28379,0.00125442,0.00125442,0.00125442
16,806.716,1.21595,0.7297,1.18375,0.93979,0.88691,0.92264,0.60884,1.29906,0.70464,1.28651,0.00122495,0.00122495,0.00122495
17,850.17,1.21027,0.72117,1.17391,0.92767,0.88014,0.9174,0.61369,1.2657,0.68815,1.268,0.00119548,0.00119548,0.00119548
18,899.716,1.19463,0.70666,1.16198,0.93792,0.88319,0.92206,0.63303,1.24137,0.68225,1.25835,0.00116601,0.00116601,0.00116601
