epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.844,1.01719,1.81558,0.93022,0.99616,0.9966,0.995,0.8126,0.6884,0.6808,0.84662,0.00055323,0.00055323,0.00055323
2,53.5816,0.76542,0.85676,0.87184,0.99808,0.99728,0.995,0.8354,0.63725,0.42638,0.85534,0.00109792,0.00109792,0.00109792
3,75.9813,0.72416,0.62204,0.86734,0.99757,0.99808,0.995,0.85723,0.60088,0.3933,0.85316,0.0016316,0.0016316,0.0016316
4,99.9548,0.70651,0.52932,0.86854,0.99422,0.99268,0.99496,0.81136,0.7162,0.41978,0.86774,0.00161749,0.00161749,0.00161749
5,122.851,0.68002,0.46339,0.85387,0.99798,0.99808,0.995,0.87021,0.56447,0.3372,0.83592,0.00160099,0.00160099,0.00160099
6,145.387,0.6505,0.4218,0.84514,0.99645,0.99423,0.995,0.8598,0.57099,0.33962,0.83855,0.00158448,0.00158448,0.00158448
7,167.367,0.65145,0.39883,0.84799,0.99973,0.99808,0.995,0.87646,0.56299,0.31996,0.83569,0.00156798,0.00156798,0.00156798
8,189.857,0.61418,0.38647,0.83641,1,0.99727,0.995,0.88339,0.54396,0.31904,0.83478,0.00155148,0.00155148,0.00155148
9,211.494,0.61021,0.38475,0.83695,0.9998,1,0.995,0.86754,0.56383,0.3128,0.83841,0.00153497,0.00153497,0.00153497
10,233.053,0.60247,0.36308,0.83215,0.99964,1,0.995,0.88733,0.5365,0.29079,0.82809,0.00151847,0.00151847,0.00151847
11,257.068,0.5781,0.35517,0.82882,1,0.99936,0.995,0.89001,0.51484,0.30493,0.82224,0.00150197,0.00150197,0.00150197
12,284.175,0.56538,0.34369,0.82928,0.99958,0.99808,0.995,0.89528,0.49786,0.28446,0.82022,0.00148546,0.00148546,0.00148546
13,308.151,0.57015,0.34168,0.82907,0.99959,0.99615,0.995,0.90424,0.48439,0.28671,0.81669,0.00146896,0.00146896,0.00146896
14,330.668,0.54644,0.33081,0.83006,0.99922,0.99808,0.995,0.89927,0.47944,0.27972,0.81927,0.00145246,0.00145246,0.00145246
15,352.709,0.57061,0.3423,0.83054,0.998,0.99808,0.995,0.89288,0.48771,0.28801,0.82056,0.00143595,0.00143595,0.00143595
