image;true_plate;pred_plate;similarity;match
1755800220_0.9_(48, 104, 3)_BYJ-567.jpg;BYJ-567;BYJ-567;1.0;✅
1755800225_0.91_(44, 95, 3)_V71-023.jpg;V71-023;V71-023;1.0;✅
1755800256_0.9_(49, 104, 3)_Z4X-018.jpg;Z4X-018;Z4X-018;1.0;✅
1755800279_0.93_(64, 113, 3)_A8D-757.jpg;A8D-757;A8D-757;1.0;✅
1755800317_0.9_(45, 93, 3)_VAJ-632.jpg;VAJ-632;VAJ-632;1.0;✅
1755800323_0.9_(52, 105, 3)_CRO-577.jpg;CRO-577;CRO-577;1.0;✅
1755800341_0.9_(44, 91, 3)_V8U-524.jpg;V8U-524;V8U-524;1.0;✅
1755800344_0.91_(47, 96, 3)_Z7U-204.jpg;Z7U-204;Z7U-204;1.0;✅
1755800351_0.91_(47, 93, 3)_BSV-176.jpg;BSV-176;BSV-176;1.0;✅
1755800370_0.91_(52, 105, 3)_Z7P-666.jpg;Z7P-666;Z7P-666;1.0;✅
1755800418_0.9_(53, 106, 3)_Z6A-203.jpg;Z6A-203;Z6A-203;1.0;✅
1755800425_0.9_(58, 119, 3)_B3W-759.jpg;B3W-759;B3W-759;1.0;✅
1755800437_0.9_(60, 107, 3)_Z5B-752.jpg;Z5B-752;Z5B-752;1.0;✅
1755800446_0.9_(49, 100, 3)_Z8Y-837.jpg;Z8Y-837;Z8Y-837;1.0;✅
1755800450_0.9_(48, 96, 3)_Z7V-290.jpg;Z7V-290;Z7V-290;1.0;✅
1755800459_0.9_(46, 92, 3)_Z6S-279.jpg;Z6S-279;Z6S-279;1.0;✅
1755800467_0.91_(58, 105, 3)_B1B-164.jpg;B1B-164;B1B-164;1.0;✅
1755800525_0.91_(45, 92, 3)_V9W-422.jpg;V9W-422;V9W-422;1.0;✅
1755800555_0.9_(44, 90, 3)_V8M-368.jpg;V8M-368;V8M-368;1.0;✅
1755800589_0.9_(46, 98, 3)_A8D-757.jpg;A8D-757;A8D-757;1.0;✅
1755800590_0.9_(54, 109, 3)_A80-757.jpg;A8D-757;A8D-757;1.0;✅
1755800700_0.91_(48, 100, 3)_Z5Q-106.jpg;Z5Q-106;Z5Q-106;1.0;✅
1755800790_0.9_(43, 90, 3)_X4N-230.jpg;X4N-230;X4N-230;1.0;✅
1755800793_0.91_(46, 92, 3)_V1I-104.jpg;V1I-104;V1I-104;1.0;✅
1755800797_0.9_(52, 103, 3)_AUU-101.jpg;AUU-101;AUU-101;1.0;✅
1755800807_0.9_(50, 104, 3)_X20-934.jpg;X2O-934;X20-934;0.857;❌
1755800880_0.9_(44, 92, 3)_V31-163.jpg;V3I-163;V31-163;0.857;❌
1755800883_0.9_(54, 104, 3)_Z6L-717.jpg;Z6U-717;Z6L-717;0.857;❌
1755800887_0.9_(47, 97, 3)_Z7K-549.jpg;Z7K-549;Z7K-549;1.0;✅
1755800893_0.9_(71, 106, 3)_Y3Q-595.jpg;Y3Q-595;Y3Q-595;1.0;✅
1755800912_0.9_(41, 96, 3)_F51-233.jpg;F5I-233;F51-233;0.857;❌
1755800941_0.9_(50, 100, 3)_B1N-742.jpg;B1N-742;B1N-742;1.0;✅
1755800975_0.91_(58, 106, 3)_V7R-826.jpg;V7R-826;V7R-826;1.0;✅
1755800978_0.91_(47, 96, 3)_Z4Q-197.jpg;Z4Q-197;Z4Q-197;1.0;✅
1755801015_0.9_(48, 98, 3)_Z5G-496.jpg;Z5G-496;Z5G-496;1.0;✅
1755801088_0.9_(50, 109, 3)_Z5T-282.jpg;Z5T-282;Z5T-282;1.0;✅
1755801091_0.91_(46, 101, 3)_Z5V-445.jpg;Z5V-445;Z5V-445;1.0;✅
1755801123_0.9_(52, 100, 3)_W1A-763.jpg;W1A-763;W1A-763;1.0;✅
1755801131_0.9_(56, 113, 3)_A9K-715.jpg;A9K-715;A9K-715;1.0;✅
1755801139_0.9_(47, 97, 3)_CBM-487.jpg;CBM-487;CBM-487;1.0;✅
1755801176_0.9_(50, 108, 3)_Z2G-146.jpg;Z2G-146;Z2G-146;1.0;✅
1755801183_0.9_(61, 112, 3)_Z2N-051.jpg;Z2N-051;Z2N-051;1.0;✅
1755801190_0.9_(46, 98, 3)_V9K-468.jpg;V9K-468;V9K-468;1.0;✅
1755801207_0.91_(48, 101, 3)_Z3P-791.jpg;Z3P-791;Z3P-791;1.0;✅
1755801210_0.9_(49, 104, 3)_X3A-006.jpg;X3A-006;X3A-006;1.0;✅
1755801223_0.91_(51, 101, 3)_Z8B-641.jpg;Z8B-641;Z8B-641;1.0;✅
1755801236_0.9_(48, 97, 3)_X1J-790.jpg;X1J-790;X1J-790;1.0;✅
1755801286_0.9_(71, 116, 3)_F7F-087.jpg;F7F-087;F7F-087;1.0;✅
1755801294_0.91_(52, 106, 3)_A5G-752.jpg;A5G-752;A5G-752;1.0;✅
1755801305_0.91_(48, 98, 3)_Z8U-888.jpg;Z8U-888;Z8U-888;1.0;✅
1755801306_0.91_(47, 102, 3)_Z8L-888.jpg;Z8U-888;Z8U-888;1.0;✅
1755801314_0.91_(50, 103, 3)_AUJ-187.jpg;AUJ-187;AUJ-182;0.857;❌
1755801315_0.9_(57, 110, 3)_AUJ-182.jpg;AUJ-182;AUJ-182;1.0;✅
1755801327_0.91_(49, 100, 3)_Z6X-411.jpg;Z6X-411;Z6X-411;1.0;✅
1755801335_0.9_(62, 110, 3)_V71-023.jpg;V7I-023;V71-023;0.857;❌
1755801348_0.9_(50, 97, 3)_X1S-070.jpg;X1S-070;X1S-070;1.0;✅
