image,ground_truth,ocr_text,is_correct,confidence,config_id,use_angle_cls,lang,use_gpu,ocr_version
"1755801426_0.9_(50, 102, 3)_W1A-763.jpg",W1A-763,W1A-763,True,0.9530827403068542,1,True,en,True,PP-OCRv4
"1755866275_0.9_(66, 112, 3)_Z5L-453.jpg",Z5U-453,Z5L-453,False,0.9714223742485046,1,True,en,True,PP-OCRv4
"1755801790_0.91_(49, 103, 3)_Z6C-695.jpg",Z6C-695,Z6C-695,True,0.9947396516799927,1,True,en,True,PP-OCRv4
"1755868571_0.91_(48, 96, 3)_BRT-304.jpg",BRT-304,BRT-304,True,0.9937630891799927,1,True,en,True,PP-OCRv4
"1755805218_0.9_(41, 88, 3)_Z7H-064.jpg",Z7H-064,Z7H-064,True,0.9786929488182068,1,True,en,True,PP-OCRv4
"1755809743_0.9_(47, 93, 3)_Z11-272.jpg",Z1I-272,Z11-272,False,0.9385003447532654,1,True,en,True,PP-OCRv4
"1755800912_0.9_(41, 96, 3)_F51-233.jpg",F5I-233,F51-233,False,0.9393516182899475,1,True,en,True,PP-OCRv4
"1755802147_0.91_(46, 90, 3)_VBI-497.jpg",VBI-497,VBI-497,True,0.9812785387039185,1,True,en,True,PP-OCRv4
"1755802133_0.91_(49, 97, 3)_VCF-677.jpg",VCF-677,VCF-677,True,0.9886490702629089,1,True,en,True,PP-OCRv4
"1755803170_0.9_(45, 89, 3)_X3T-194.jpg",X3T-194,X3T-194,True,0.9820883870124817,1,True,en,True,PP-OCRv4
"1755808144_0.9_(46, 94, 3)_Z2Q-021.jpg",Z2Q-021,Z2Q-021,True,0.9817854166030884,1,True,en,True,PP-OCRv4
"1755867790_0.9_(55, 104, 3)_V9K-468.jpg",V9K-468,V9K-468,True,0.9481227993965149,1,True,en,True,PP-OCRv4
"1755869679_0.9_(63, 113, 3)_V7C-801.jpg",V7C-801,V7C-801,True,0.9871273636817932,1,True,en,True,PP-OCRv4
"1755868062_0.9_(56, 108, 3)_V9F-202.jpg",V9F-202,V9F-202,True,0.9290637373924255,1,True,en,True,PP-OCRv4
"1755872968_0.91_(50, 96, 3)_C1A-878.jpg",C1A-878,C1A-878,True,0.9908815622329712,1,True,en,True,PP-OCRv4
