model;image;inference_time_ms;fps
best_yolo10.pt;1755982340_0.9_(720, 1280, 3)_AOZ-128.jpg;970.21;1.03
best_yolo10.pt;1756317858_0.91_(720, 1280, 3)_Z4K-279.jpg;15.11;66.19
best_yolo10.pt;1755980909_0.91_(720, 1280, 3)_VCL-564.jpg;12.69;78.79
best_yolo10.pt;1756258896_0.9_(720, 1280, 3)_VAK-229.jpg;10.84;92.25
best_yolo10.pt;1756322912_0.9_(720, 1280, 3)_Z1C-786.jpg;11.25;88.89
best_yolo10.pt;1756564564_0.9_(720, 1280, 3)_Z2L-758.jpg;12.14;82.4
best_yolo10.pt;1756649683_0.91_(720, 1280, 3)_AFG-023.jpg;11.68;85.61
best_yolo10.pt;1756320829_0.91_(720, 1280, 3)_Z7Y-690.jpg;11.26;88.83
best_yolo10.pt;1756059222_0.92_(720, 1280, 3)_Z8B-617.jpg;10.2;98.03
best_yolo10.pt;1756497156_0.9_(720, 1280, 3)_BWS-056.jpg;12.09;82.69
best_yolo10.pt;1756309688_0.9_(720, 1280, 3)_A1K-114.jpg;10.57;94.57
best_yolo10.pt;1755982105_0.9_(720, 1280, 3)_VCC-615.jpg;11.25;88.91
best_yolo10.pt;1756246506_0.9_(720, 1280, 3)_Z4X-018.jpg;10.28;97.25
best_yolo10.pt;1756040098_0.9_(720, 1280, 3)_V5D-640.jpg;10.26;97.44
best_yolo10.pt;1756318348_0.9_(720, 1280, 3)_V8B-369.jpg;10.26;97.43
best_yolo10.pt;1756322460_0.91_(720, 1280, 3)_Z7L-650.jpg;10.49;95.36
best_yolo10.pt;1756648024_0.9_(720, 1280, 3)_Z7G-289.jpg;13.34;74.95
best_yolo10.pt;1756040324_0.9_(720, 1280, 3)_Z7R-109.jpg;11.52;86.82
best_yolo10.pt;1756302275_0.9_(720, 1280, 3)_V11-798.jpg;10.44;95.76
best_yolo10.pt;1755981065_0.9_(720, 1280, 3)_Z7S-344.jpg;12.27;81.52
best_yolo10.pt;1756308661_0.91_(720, 1280, 3)_Z1J-781.jpg;10.3;97.1
best_yolo10.pt;1756320744_0.9_(720, 1280, 3)_Z1W-677.jpg;10.23;97.77
best_yolo10.pt;1756323251_0.91_(720, 1280, 3)_V9S-156.jpg;10.64;94.03
best_yolo10.pt;1756039132_0.91_(720, 1280, 3)_V8B-614.jpg;12.55;79.66
best_yolo10.pt;1756296796_0.9_(720, 1280, 3)_D7P-591.jpg;11.42;87.57
best_yolo10.pt;1756325410_0.91_(720, 1280, 3)_Z2Q-021.jpg;10.22;97.81
best_yolo10.pt;1756319979_0.91_(720, 1280, 3)_Z8B-617.jpg;10.0;99.98
best_yolo10.pt;1756651087_0.9_(720, 1280, 3)_B3W-759.jpg;10.82;92.39
best_yolo10.pt;1756318997_0.9_(720, 1280, 3)_K20-715.jpg;10.38;96.31
best_yolo10.pt;1755980913_0.9_(720, 1280, 3)_V7Q-662.jpg;10.36;96.57
best_yolo10.pt;1756300047_0.9_(720, 1280, 3)_V6E-082.jpg;10.24;97.69
best_yolo10.pt;1756571937_0.91_(720, 1280, 3)_AVL-787.jpg;12.79;78.19
best_yolo10.pt;1756316134_0.91_(720, 1280, 3)_BBW-934.jpg;11.15;89.66
best_yolo10.pt;1756578719_0.9_(720, 1280, 3)_AYC-836.jpg;10.89;91.82
best_yolo10.pt;1756502603_0.91_(720, 1280, 3)_Z7H-075.jpg;11.24;88.97
